titles,descriptions,authors,times,links
6 Easy Steps to Write Test Summary Report (TSR) or Test Closure Report – Free Sample TSR to download,"In this article, we will learn what is Test Summary Report? Who prepares it? when is it prepared? Who are the stakeholders? What are the points to include in TSR",Shilpa,"May 14, 2018",https://www.opencodez.com/software-testing/6-easy-steps-to-write-test-summary-report.htm
An Introduction to Microservices Architecture – Simple and Easy To Understand,"You must have been on a train many times in your life, but have you noticed the architectural pattern of the train. Is it Microservices Architecture? let us see. The trains",Rahul,"May 11, 2018",https://www.opencodez.com/web-development/introduction-microservices-architecture.htm
Understanding Performance Improvement for Map in Java 8,"What is new in Java 8 for Map!! Folks, A significant change has been shipped in Java 8 release for Map. Of course, it is leaving the shore for better",Rahul,"May 9, 2018",https://www.opencodez.com/java/java8-map-performance-improvements.htm
Java Behavioral Design Patterns – Memento Design Pattern,"In this article, we will cover one Memento Design Pattern which is categorized under behavioral design patterns. This pattern provides the capability to provide a restore (like undo) functionality over an",Supriya,"May 5, 2018",https://www.opencodez.com/java/memento-design-pattern.htm
Simple Text Classification using Keras Deep Learning Python Library – Step By Step Guide,"Deep Learning is everywhere. All organizations big or small, trying to leverage the technology and invent some cool solutions. In this article, we will do a text classification using Keras",Pavan,"Apr 30, 2018",https://www.opencodez.com/how-to-guide/text-classification-using-keras.htm
Simple Guide to Improve Code Quality With SonarLint,"In this article, we will learn to Configure sonarLint in IDE, identify and fix quality gaps, and improve our Code Quality With Sonarlint. Oops!! how could I missed it!! this",Rahul,"Apr 26, 2018",https://www.opencodez.com/how-to-guide/improve-code-quality-with-sonarlint.htm
Java Behavioral Design Patterns – Observer Design Pattern,"Observer Design Pattern is listed under Behavioral Design Patterns as it can alter the behavior of the program. In this article, we will understand this pattern with a simple example. This",Supriya,"Apr 16, 2018",https://www.opencodez.com/java/observer-design-pattern.htm
Salesforce Tutorial# 16: Learning Salesforce Apex and Deployment Tools,"Apex is the backbone of Salesforce development. In this article, we will see a few points that will help you in Learning Salesforce Apex. Introduction of Salesforce Apex Classes: Apex",Renuka,"Apr 8, 2018",https://www.opencodez.com/salesforce/salesforce-tutorial-16-learning-apex-deployment-tools.htm
Spring Mobile To Detect Device In Java Web Application – Source Code on GitHub,"Spring Mobile is an extension to Spring MVC framework. It primarily aims to simplify the development of mobile web applications. Spring Mobile To Detect Device: In this article, we will",Pavan,"Apr 5, 2018",https://www.opencodez.com/java/device-detection-using-spring-mobile.htm
Java Behavioral Design Patterns – Mediator Design Pattern,"In this article, we will understand Mediator Design Pattern. This pattern is categorized under behavioral pattern as it can alter the program’s running behavior. In some cases, the program is made up by",Supriya,"Mar 24, 2018",https://www.opencodez.com/java/mediator-design-pattern.htm
Java Behavioral Design Patterns – Visitor Design Pattern,"In this article, we will go through another pattern from behavioral category: Visitor Design Pattern. The visitor design pattern is generally used when you have to do an operation on heterogeneous",Supriya,"Mar 13, 2018",https://www.opencodez.com/java/visitor-design-pattern.htm
A Quick Easy Guide to Deep Learning with Java – Building Neural Network,"In this article, we will take a brief look at Deep Learning with Java. We are going to build our first simple neural network using Open-Source, Distributed, Deep Learning Library for",Pavan,"Mar 8, 2018",https://www.opencodez.com/java/deeplearaning4j.htm
SQL for QA: Tutorial#13 – Stored Functions,Empty,Supriya,Sep 26,https://www.opencodez.com/software-testing/sql-for-qa-tutorial13-stored-functions.htm
4 Simple steps to create Requirement Traceability Matrix (RTM) – Free Sample to download,Empty,Shilpa,Feb 8,https://www.opencodez.com/software-testing/create-requirement-traceability-matrix-rtm-free-sample-download.htm
Practical Defect Life Cycle followed in IT companies,Empty,Shilpa,Mar 15,https://www.opencodez.com/software-testing/practical-defect-life-cycle-followed-in-it-companies.htm
12 effective tips to write impressive and catchy QA/Software Tester’s Resume to surely get call for an interview,Empty,Shilpa,Aug 12,https://www.opencodez.com/software-testing/12-effective-ways-write-catchy-qa-software-tester-resume.htm
How to Perform Exploratory Data Analysis on a Loan Delinquency Problem -Part1,Empty,Rounak,Oct 5,https://www.opencodez.com/machine-learning/how-to-perform-exploratory-data-analysis-on-a-loan-delinquency-problem.htm
Steps to develop Spring Batch jobs using Spring Boot with example,Empty,Pavan,Sep 4,https://www.opencodez.com/java/spring-batch-with-spring-boot.htm
Top 5 Best Responsive CSS Frameworks for Web Design,Empty,Pavan,Nov 27,https://www.opencodez.com/web-development/top-5-best-responsive-css-framework-for-web-design.htm
Salesforce Tutorial# 13: Salesforce Reports and Dashboards,Empty,Renuka,Nov 15,https://www.opencodez.com/salesforce/salesforce-reports-and-dashboards.htm
React Native:Tutorial #2 – React Native Props and State,Empty,Pavan,Aug 29,https://www.opencodez.com/react-native/react-native-props-and-state.htm
Salesforce Tutorial# 7: Automation in Salesforce,Empty,Renuka,Jun 27,https://www.opencodez.com/salesforce/automation-in-salesforce.htm
101 Most Important Frequently Asked Core Java Interview Questions to Ace an Interview – Part 2,"In continuation of our previous article 101 Core Java Interview Questions to Ace the Interview, this is the second part. Read first part – 101 Core Java Interview Questions to Ace an",Supriya,"Mar 1, 2018",https://www.opencodez.com/java/101-core-java-interview-questions-to-ace-an-interview-part-2.htm
101 Most Important Frequently Asked Core Java Interview Questions to Ace an Interview – Part 1,"In this article, we are going to list down 101 Most Important and Frequently Asked Core Java Interview Questions that will give you enough exposure and confidence to ace at",Supriya,"Mar 1, 2018",https://www.opencodez.com/java/101-core-java-interview-questions-to-ace-an-interview-part-1.htm
Java Behavioral Design Patterns – Iterator Design Pattern,Iterator Design Pattern is one of the Behavioural design patterns in Java. It is used for traversing through the collection of data in a particular class. This pattern hides the,Supriya,"Feb 23, 2018",https://www.opencodez.com/java/iterator-design-pattern.htm
Learn 7 Most Important Java8 Features with Easy Examples,It’s been a long time since Java 8 has been introduced. Java 9 and 10 are already becoming the talk of the town. So its time to learn Java 8,Pavan,"Feb 19, 2018",https://www.opencodez.com/java/java-8-using-examples.htm
Java Behavioral Design Patterns – Template Method Design Pattern,"In this article, we will understand one of the simplest design pattern: Template Method Design Pattern.This pattern falls under the behavioral design patterns. The pattern provides the outline or skeleton",Supriya,"Feb 15, 2018",https://www.opencodez.com/java/template-method-design-pattern.htm
Java Behavioral Design Patterns – State Design Pattern,"State design pattern is used when the behavior of an Object changes based on its internal state. In the state pattern, a state machine is implemented by implementing each individual",Supriya,"Feb 13, 2018",https://www.opencodez.com/java/state-design-pattern.htm
How to build Soap Web Services with Apache CXF and Spring Boot,"The popularity of Restful Services is rising that does not mean we have forgotten the Soap Web Services. In this article, we will see how to build Soap web services with",Pavan,"Feb 10, 2018",https://www.opencodez.com/java/soap-web-services-with-apache-cxf-spring-boot.htm
Java Behavioral Design Patterns – Strategy Design Pattern,"The Strategy Design Pattern is one of the behavioral design patterns, it is also called as policy pattern that enables selecting an algorithm at runtime according to requirement. In this",Supriya,"Feb 8, 2018",https://www.opencodez.com/java/strategy-design-pattern.htm
Java Behavioral Design Patterns – Interpreter Design Pattern,The Interpreter design pattern is one of the behavioral design patterns that give specification about how to evaluate sentences in a language. Java compiler or for that matter compiler for,Supriya,"Feb 5, 2018",https://www.opencodez.com/java/interpreter-design-pattern.htm
Configuration Management of WebSphere Liberty for production environment,"WebSphere Liberty is an application server offering by IBM. It is fast, dynamic, and easy for configuration. The server is built on the open-source Open Liberty project. With the growth",Anup,"Feb 3, 2018",https://www.opencodez.com/how-to-guide/managing-configuration-websphere-liberty-production-environment.htm
Java Behavioral Design Patterns – Command Design Pattern,The command design pattern is one of the behavioral design patterns. This design pattern can be considered for use when there is clear segregation between requester and executor of an,Supriya,"Feb 2, 2018",https://www.opencodez.com/java/command-design-pattern.htm
Spring Scheduled Tasks – 3 Ways To Use Spring Scheduler,"In this article, we will see how to run any task or a program using Spring Scheduled Tasks. As usual, we will demonstrate this with our favorite Spring Boot Softwares",Pavan,"Jan 26, 2018",https://www.opencodez.com/java/using-spring-scheduled-tasks.htm
How to Zip a file using Java,Empty,Pavan,Nov 7,https://www.opencodez.com/java/zip-file-using-java.htm
Passing Command Line Arguments in Java – Spring Boot Example,Empty,Pavan,Dec 27,https://www.opencodez.com/java/passing-command-line-arguments-java-spring-boot-example.htm
How to Install WordPress Locally using XAMPP,Empty,Pavan,Oct 24,https://www.opencodez.com/web-development/how-to-install-wordpress-locally-using-xampp.htm
Most important Core Java Interview Questions – I,Empty,Pavan,May 24,https://www.opencodez.com/java/core-java-interview-questions-i.htm
Read X509 Certificate from Java KeyStore – Example With Code,Empty,Pavan,Nov 21,https://www.opencodez.com/java/read-x509-certificate-java-keystore.htm
ReactJS Tutorial# 5 – React Flux and Redux,Empty,Pavan,Nov 29,https://www.opencodez.com/reactjs/reactjs-tutorial-5-react-flux-and-redux.htm
Easy Way to Configure Quartz Scheduler with Spring Boot – Example With Source Code,Empty,Pavan,Sep 26,https://www.opencodez.com/java/quartz-scheduler-with-spring-boot.htm
SQL for QA: Tutorial#9 – JOIN Clause,Empty,Supriya,May 27,https://www.opencodez.com/software-testing/sql-qa-tutorial9-join-clause.htm
Oracle Job Scheduler Guide With Examples – Part 3,Empty,Pavan,Mar 8,https://www.opencodez.com/oracle/oracle-job-scheduler-guide-examples-part-3.htm
Build a Web service using PHP,Empty,Pavan,Apr 10,https://www.opencodez.com/php/build-a-web-service-using-php.htm
Salesforce Tutorial# 15: Salesforce Sandbox and Overview of Force.com Capabilities,"One of the best capabilities of Force.com platform is Salesforce Sandbox, which allows us to create a copy of our production organization. In this article of our Salesforce Learning, we",Renuka,"Jan 24, 2018",https://www.opencodez.com/salesforce/salesforce-sandbox-overview-force-com-capabilities.htm
Simple way to Build Message Driven Application using Kafka and Spring Boot,"In this article, we will create a simple Message Driven Application using Apache Kafka and Spring Boot. We have already seen how we connect to Kafka using plain java clients. In this",Pavan,"Jan 15, 2018",https://www.opencodez.com/java/how-to-build-message-driven-application-using-kafka-and-spring-boot.htm
Implement Custom Value Serializer for Kafka – Example With Source Code,"In our last article on implementation of Apache Kafka, we have seen the basic Java client to produce and consume messages. To continue our learning lets see how we can",Pavan,"Jan 8, 2018",https://www.opencodez.com/java/implement-custom-value-serializer-apache-kafka.htm
How to 301 Redirect Url in WordPress,"Every now and then the webmaster has to update his site. He will delete some non performing posts, pages or he will change some categories. While doing this he has",Pavan,"Jan 3, 2018",https://www.opencodez.com/wordpress/301-redirect-url-wordpress.htm
Simple Way to Implement Kafka with Java – Source Code on GitHub,Implement Kafka with Java: Apache Kafka is the buzz word today. Everyone talks about it writes about it. So I have also decided to dive into it and understand it.,Pavan,"Dec 30, 2017",https://www.opencodez.com/java/using-apache-kafka-java.htm
Passing Command Line Arguments in Java – Spring Boot Example,"Application properties are part of each and every application. To make your project robust and easy for the configuration you always think of keeping some properties either in the file,",Pavan,"Dec 27, 2017",https://www.opencodez.com/java/passing-command-line-arguments-java-spring-boot-example.htm
Currency Conversion App in Java,Consuming a rest web service is easy and with RestTemplate Spring has made dealing with these rest services easier. In this article we will build a simple Currency Conversion App that uses,Pavan,"Dec 12, 2017",https://www.opencodez.com/java/currency-conversion-app-spring-boot-java.htm
Salesforce Tutorial# 14: Building a Visualforce (Custom) Page for the Salesforce App,Visualforce is nothing but one of the framework of Force.com which is component-based user interface. A tag based language more similar to HTML is used by visualforce.  Each tag corresponds,Renuka,"Dec 8, 2017",https://www.opencodez.com/salesforce/building-visualforce-custom-page-salesforce-app.htm
Send Encrypted Email Using Java Spring Boot – Simple Step By Step Guide With Source Code,Emails are used as communication modes most of the time. Not always people use encrypted email when sending business-sensitive information. Outlook and other email clients have inbuilt support for this,Pavan,"Nov 27, 2017",https://www.opencodez.com/java/send-encrypted-email-using-java.htm
Read X509 Certificate from Java KeyStore – Example With Code,In the NEW IT age with lots of data comes great responsibility to protect it against all malicious attacks. Using secure communications or HTTPS is one of the ways to,Pavan,"Nov 21, 2017",https://www.opencodez.com/java/read-x509-certificate-java-keystore.htm
Salesforce Tutorial# 13: Salesforce Reports and Dashboards,"Earlier in this tutorial series, we have seen many features and capabilities of Salesforce. Today in this tutorial you will get some insights on Reports and Dashboards in Salesforce. Reports",Renuka,"Nov 15, 2017",https://www.opencodez.com/salesforce/salesforce-reports-and-dashboards.htm
How to Zip a file using Java,Sometimes it may happen that the in your application the size of log files increases and you have to run to your infrastructure team to either archive them or add,Pavan,"Nov 7, 2017",https://www.opencodez.com/java/zip-file-using-java.htm
What is Docker – Complete Docker Tutorial for Beginners,Empty,Pavan,Jul 1,https://www.opencodez.com/java/beginners-guide-docker-platform.htm
101 Most Important Frequently Asked Salesforce Interview Questions,Empty,Renuka,Jun 28,https://www.opencodez.com/salesforce/salesforce-interview-questions.htm
Speed up your WordPress Site – No Coding Required – Part 1,Empty,Pavan,May 1,https://www.opencodez.com/wordpress/speed-up-your-wordpress-site-part-1.htm
How to Setup ECommerce for WordPress Website,Empty,Pavan,Mar 10,https://www.opencodez.com/web-development/how-to-setup-ecommerce-for-your-wordpress-website.htm
Micronaut Framework – Complete Guide with Sample Example,Empty,Pavan,Aug 21,https://www.opencodez.com/java/introduction-to-micronaut-framework.htm
Salesforce Tutorial# 1: Introduction to Cloud Computing (Salesforce.com and Force.com),Empty,Renuka,Feb 6,https://www.opencodez.com/salesforce/cloud-computing-salesforce.htm
Top 5 Best WordPress Plugins Your Website Must Have,Empty,Pavan,Mar 27,https://www.opencodez.com/wordpress-2/top-5-best-wordpress-plugins-your-website-must-have.htm
Java Behavioral Design Patterns – Memento Design Pattern,Empty,Supriya,May 5,https://www.opencodez.com/java/memento-design-pattern.htm
Salesforce Tutorial# 11: Salesforce Data Management,Empty,Renuka,Sep 26,https://www.opencodez.com/salesforce/data-management-salesforce.htm
SQL for QA: Tutorial#13 – Stored Functions,Empty,Supriya,Sep 26,https://www.opencodez.com/software-testing/sql-for-qa-tutorial13-stored-functions.htm
Salesforce Tutorial# 12: Salesforce MVC Architecture on Cloud,"Salesforce MVC Architecture is one of the widely used software architecture design patterns which divides the design into three basic components i.e. Model, View, and Controller. Salesforce provides Visualforce an",Renuka,"Oct 12, 2017",https://www.opencodez.com/salesforce/visualforce-mvc-architecture-on-cloud.htm
Simple Way to Configure LDAP Authentication using Spring Boot – Source Code on GitHub,LDAP authentication is one of the widely used approaches in enterprise-grade applications.  LDAP is used as a central repository for user information and applications will connect to this repository for,Pavan,"Oct 4, 2017",https://www.opencodez.com/java/configure-ldap-authentication-using-spring-boot.htm
Salesforce Tutorial# 11: Salesforce Data Management,Every application or system in the world is data-driven and its management is always crucial for any system to be successful. Salesforce Data Management comes in two flavors Data Import,Renuka,"Sep 26, 2017",https://www.opencodez.com/salesforce/data-management-salesforce.htm
Building Restful Web Services using Java,When we think of web services the one obvious question comes to our mind is Soap or Restful? And what are the differences and advantages over one another. In this,Pavan,"Sep 4, 2017",https://www.opencodez.com/java/building-restful-web-services-using-java.htm
Salesforce Tutorial# 10: Introduction to Apex Triggers,"Apex is an object-oriented, strongly typed programming language, API supported by Force.com to give transaction control on salesforce platform. Apex supports for online SOQL and SOSL query handling and returns",Renuka,"Aug 28, 2017",https://www.opencodez.com/salesforce/salesforce-tutorial-10-introduction-apex.htm
Top 5 Best JavaScript Frameworks in 2019,JavaScript is one of the major contributors to the Web designs and development and thus JavaScript Frameworks enhances developers ability to create single page applications and Web application prototypes without,Shilpa,"Aug 17, 2017",https://www.opencodez.com/java-script/5-best-javascript-frameworks-2017.htm
Simplest method to Implement 2 Way Authentication using SSL – Example With Source Code Available,Every web application needs to be protected. There could be different solutions to choose from depending upon your requirement and feasibility. Some may choose basic form-based authentication or some may,Pavan,"Aug 9, 2017",https://www.opencodez.com/java/implement-2-way-authentication-using-ssl.htm
6 Important Steps to Shift Career from QA /Tester to BA / Business Analyst,Why Business Analyst or BA is one of the best options to go for. What are the skills required for BA. responsibilities of BA and what are those 6 steps,Shilpa,"Aug 5, 2017",https://www.opencodez.com/software-testing/6-steps-to-become-business-analyst.htm
How to execute batch (.bat) file from Java,"Well as the title suggests, we will attempt to know how to execute bat file from Java. When you are a Java Developer, a lot is expected from you and",Pavan,"Jul 29, 2017",https://www.opencodez.com/java/how-to-execute-bat-file-from-java.htm
Salesforce Tutorial# 9: Introduction to SOQL and SOSL,Salesforce Object Query Language (SOQL) is similar to the SELECT statement in SQL (Structured Query Language). Using SOQL one can search the organization specific data. SOQL can be used with,Renuka,"Jul 23, 2017",https://www.opencodez.com/salesforce/introduction-soql-and-sosl.htm
Tips to Write Simple & Effective Test Plan – [Sample Test Plan Report to Download],"Test planning is a very important, essential, and crucial part of the testing life cycle. Well planned and executed tests ensures good quality software. In simple words, Test Planning is",Sonali,"Jul 14, 2017",https://www.opencodez.com/software-testing/test-planning.htm
Salesforce Tutorial# 8: Approval Process in Salesforce,"In this chapter, we will take Automation in Salesforce one step further with Approvals. Approval Process in Salesforce defines each step of how records get approved in Salesforce. Approval Process",Renuka,"Jul 8, 2017",https://www.opencodez.com/salesforce/approval-process-in-salesforce.htm
How to learn a Programming Language easily,Empty,Pavan,Dec 21,https://www.opencodez.com/how-to-guide/learning-a-programming-language.htm
10 Steps Action Plan to Move From Software Development To Testing,Empty,Shilpa,Feb 27,https://www.opencodez.com/software-testing/10-steps-action-plan-to-move-from-software-development-to-testing.htm
SQL For QA : Tutorial#1 – Select Query,Empty,Supriya,Apr 17,https://www.opencodez.com/software-testing/sql-for-qa-tutorial-select-query.htm
GraphQL Tutorial#6 : 51 Most Imp GraphQL Interview Questions and Answers,Empty,Pavan,Jun 12,https://www.opencodez.com/web-development/tutorial6-51-imp-graphql-interview-questions-answers.htm
How to add Options Framework to WordPress Theme,Empty,Pavan,Jun 6,https://www.opencodez.com/web-development/how-to-add-options-framework-to-wordpress-theme.htm
Project Lombok – A Java Library to Reduce Boilerplate Code,Empty,Pavan,Aug 30,https://www.opencodez.com/java/project-lombok.htm
Step By Step Implementation Of Microservices with Spring Boot – Sample Code Provided,Empty,Rahul,May 24,https://www.opencodez.com/java/microservices-action-spring-boot.htm
SQL for QA: Tutorial#3 – INSERT INTO Statement,Empty,Supriya,Apr 19,https://www.opencodez.com/software-testing/sql-qa-tutorial3-insert-statement.htm
Flyweight Pattern – Structural Design Pattern,Empty,Supriya,May 20,https://www.opencodez.com/java/flyweight-pattern.htm
Java Behavioral Design Patterns – Visitor Design Pattern,Empty,Supriya,Mar 13,https://www.opencodez.com/java/visitor-design-pattern.htm
Salesforce Tutorial# 7: Automation in Salesforce,"In continuation of our Salesforce learning, we will take a brief look at salesforce automation. To allow automated process as per customer specification or criteria we need to develop the",Renuka,"Jun 27, 2017",https://www.opencodez.com/salesforce/automation-in-salesforce.htm
Salesforce Tutorial# 6: Salesforce Security Model and Overview,"Data Security is a big challenge for any cloud platform. Salesforce Security Model provides security at different levels like Object level, Field level, Record Level, etc to make consumer’s data",Renuka,"May 31, 2017",https://www.opencodez.com/salesforce/salesforce-security.htm
4 Steps To Draft Effective Defect Report – Sample Defect Status Report in Excel to download,"In this article, we will briefly see how to prepare an effective defect status report and Sample Template is provided to download, which will give the current status of testing",Shilpa,"May 22, 2017",https://www.opencodez.com/software-testing/prepare-defect-status-report.htm
Salesforce Tutorial# 5: Object Relationships and Formula Field in Salesforce,"In this 5th article in our Salesforce learning journey, we will have some more insights on Salesforce Object Relationships. We will also see how Formula Field in Salesforce is defined.",Renuka,"May 7, 2017",https://www.opencodez.com/salesforce/object-relationships-formula-field-in-salesforce.htm
How to use RPT for Performance Testing of Web Application – Part II-Test Scheduling,"In the previous article on RTP we saw, benefits of RPT, it’s Features and sample performance script recording for single user. Now in this article, we will learn about an",Shilpa,"Apr 29, 2017",https://www.opencodez.com/software-testing/use-rpt-performance-testing-web-application-part-ii-test-scheduling.htm
Java Mail Framework using Spring Boot – Step by Step Guide With Source Code,"Every application be it desktop or web, needs to send some kind of notification via mail. The scenarios may differ as per requirements like registration mail, order confirmation or any",Pavan,"Apr 7, 2017",https://www.opencodez.com/java/java-mail-framework-using-spring-boot.htm
Salesforce Tutorial# 4: Building Salesforce Custom App and Objects,"So far we have seen the introduction about Cloud, Salesforce, and Force.com. Now we will learn some interesting features – Salesforce Custom App. An app is a collection of tasks or",Renuka,"Apr 5, 2017",https://www.opencodez.com/salesforce/building-salesforce-custom-app-objects.htm
Java Web Application Starter Template with Spring Boot,"Every now and then a developer or team has to work on new web projects, proof of concepts etc. For this they have to create project from scratch and configure",Pavan,"Mar 13, 2017",https://www.opencodez.com/java/java-web-application-starter-template-using-spring-boot.htm
Oracle Job Scheduler Guide With Examples – Part 3,"This is the last article in our 3 article series we have written on Oracle Job Scheduler. In this article, we will see the oracle job scheduling example that will",Pavan,"Mar 8, 2017",https://www.opencodez.com/oracle/oracle-job-scheduler-guide-examples-part-3.htm
How to use RPT for Performance Testing of Web Application – Part I,RPT (Rational Performance Tester) is an excellent automation tool for performance testing provided by IBM Corporation. The latest version for RPT is V8.9 and its release in Oct 2015. This,Shilpa,"Mar 4, 2017",https://www.opencodez.com/software-testing/use-rpt-performance-testing-web-application-part-1.htm
